Years,Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
2018,2018-01-01,39.9,81.3,96.8,78.9,73.5,74.3,0.0,93.6,0.0
2018,2018-01-02,38.2,85.8,100.0,84.7,78.4,83.8,0.0,93.4,0.0
2018,2018-01-03,39.9,86.4,99.9,87.5,83.1,88.1,0.0,92.5,0.0
2018,2018-01-04,42.4,85.5,100.0,87.1,82.6,87.5,0.0,91.9,0.0
2018,2018-01-05,42.9,84.4,100.0,84.3,79.8,84.8,0.0,90.5,0.0
2018,2018-01-06,43.3,83.0,97.2,84.5,76.3,82.9,0.0,88.7,0.0
2018,2018-01-07,45.4,86.2,99.7,88.6,77.2,85.0,0.0,92.9,0.0
2018,2018-01-08,46.2,88.1,100.0,92.4,83.5,87.7,0.0,91.4,0.0
2018,2018-01-09,55.9,87.5,99.9,89.2,85.3,88.9,0.0,94.1,0.0
2018,2018-01-10,55.5,86.6,97.2,89.6,84.8,89.3,0.0,92.3,0.0
2018,2018-01-11,51.3,86.3,94.7,83.2,86.4,88.3,0.0,92.2,0.0
2018,2018-01-12,45.0,80.2,90.0,78.2,82.7,83.1,0.0,86.2,0.0
2018,2018-01-13,45.4,80.5,87.0,77.1,79.3,77.8,0.0,86.4,0.0
2018,2018-01-14,50.0,86.0,88.5,81.4,81.7,80.5,0.0,91.5,0.0
2018,2018-01-15,46.6,87.1,95.6,87.6,87.2,88.1,0.0,92.5,0.0
2018,2018-01-16,46.2,86.9,97.5,88.4,88.1,88.6,0.0,93.7,0.0
2018,2018-01-17,47.9,90.0,96.2,88.4,89.0,88.1,0.0,95.5,0.0
2018,2018-01-18,45.0,89.3,96.0,87.8,88.6,88.9,0.0,92.4,0.0
2018,2018-01-19,44.5,87.0,92.9,84.4,86.4,85.9,0.0,91.2,0.0
2018,2018-01-20,42.0,87.7,91.9,82.1,82.1,81.8,0.0,92.9,0.0
2018,2018-01-21,45.8,88.3,96.8,89.2,85.6,84.6,0.0,95.0,0.0
2018,2018-01-22,47.9,90.3,100.0,90.4,90.0,90.4,0.0,93.0,0.0
2018,2018-01-23,50.4,89.2,98.2,92.5,93.0,90.2,0.0,94.2,0.0
2018,2018-01-24,50.8,87.4,100.0,87.1,89.3,90.2,0.0,93.4,0.0
2018,2018-01-25,53.8,85.1,100.0,84.9,86.6,92.2,0.0,92.7,0.0
2018,2018-01-26,51.3,80.8,97.6,78.0,78.8,87.4,0.0,91.8,0.0
2018,2018-01-27,53.4,78.3,96.6,78.2,76.6,82.3,0.0,92.2,0.0
2018,2018-01-28,54.6,83.9,100.0,81.4,79.7,81.9,0.0,93.9,0.0
2018,2018-01-29,56.3,87.0,100.0,86.3,88.1,89.1,0.0,93.4,0.0
2018,2018-01-30,54.6,84.7,98.4,85.0,87.6,89.3,0.0,94.4,0.0
2018,2018-01-31,48.3,83.9,99.4,85.0,87.0,89.5,0.0,93.3,0.0
2018,2018-02-01,51.3,82.6,100.0,84.9,84.4,90.0,0.0,91.4,0.0
2018,2018-02-02,47.5,81.2,97.3,77.2,81.4,86.2,0.0,89.4,0.0
2018,2018-02-03,45.8,81.5,96.6,75.4,72.9,77.7,0.0,91.3,0.0
2018,2018-02-04,47.5,84.6,99.6,79.8,75.2,78.2,0.0,95.6,0.0
2018,2018-02-05,47.5,85.9,100.0,84.5,81.0,82.9,0.0,95.5,0.0
